label,src_ip,src_port,dst_ip,dst_port,dst2src_bytes,src2dst_bytes,protocol,bidirectional_duration_ms
udp,10.105.10.55,58579,224.0.0.252,5355,0,136,17,421
udp,fe80::a861:4965:d154:9a39,54239,ff02::1:3,5355,0,176,17,420
udp,10.105.10.55,54239,224.0.0.252,5355,0,136,17,420
udp,10.105.11.201,55471,224.0.0.252,5355,0,156,17,419
udp,fe80::8db8:8ebc:e236:794f,55471,ff02::1:3,5355,0,196,17,419
udp,10.105.11.201,63489,224.0.0.252,5355,0,156,17,419
udp,fe80::8db8:8ebc:e236:794f,63489,ff02::1:3,5355,0,196,17,419
udp,10.105.11.201,55826,224.0.0.252,5355,0,156,17,414
udp,fe80::8db8:8ebc:e236:794f,55826,ff02::1:3,5355,0,196,17,414
udp,fe80::8db8:8ebc:e236:794f,51358,ff02::1:3,5355,0,196,17,414
udp,10.105.11.201,51358,224.0.0.252,5355,0,156,17,414
udp,10.105.10.111,59928,239.255.255.250,1900,0,868,17,3006
udp,fe80::a861:4965:d154:9a39,61639,ff02::1:3,5355,0,176,17,420
udp,10.105.10.55,61639,224.0.0.252,5355,0,136,17,420
udp,fe80::a861:4965:d154:9a39,62392,ff02::1:3,5355,0,176,17,420
udp,10.105.10.55,62392,224.0.0.252,5355,0,136,17,420
tcp,10.105.10.64,65345,10.105.10.100,7680,0,264,6,7011
udp,fe80::a861:4965:d154:9a39,51928,ff02::1:3,5355,0,176,17,420
udp,10.105.10.55,51928,224.0.0.252,5355,0,136,17,420
udp,fe80::a861:4965:d154:9a39,59607,ff02::1:3,5355,0,176,17,419
udp,10.105.10.55,59607,224.0.0.252,5355,0,136,17,419
udp,10.105.10.94,57867,239.255.255.250,1900,0,868,17,3018
udp,10.105.11.201,64937,224.0.0.252,5355,0,156,17,415
udp,10.105.11.201,62726,224.0.0.252,5355,0,156,17,415
udp,fe80::8db8:8ebc:e236:794f,64937,ff02::1:3,5355,0,196,17,415
udp,fe80::8db8:8ebc:e236:794f,62726,ff02::1:3,5355,0,196,17,415
udp,fe80::8db8:8ebc:e236:794f,60840,ff02::1:3,5355,0,196,17,419
udp,10.105.11.201,60840,224.0.0.252,5355,0,156,17,419
udp,fe80::8db8:8ebc:e236:794f,50293,ff02::1:3,5355,0,196,17,419
udp,10.105.11.201,50293,224.0.0.252,5355,0,156,17,420
udp,fe80::a861:4965:d154:9a39,62464,ff02::1:3,5355,0,176,17,420
udp,10.105.10.55,62464,224.0.0.252,5355,0,136,17,420
udp,fe80::a861:4965:d154:9a39,65119,ff02::1:3,5355,0,176,17,419
udp,10.105.10.55,65119,224.0.0.252,5355,0,136,17,419
udp,10.105.10.101,54886,239.255.255.250,1900,0,868,17,3020
udp,10.105.10.68,51614,239.255.255.250,1900,0,868,17,3022
udp,10.105.10.82,138,10.105.11.255,138,0,243,17,0
udp,fe80::8db8:8ebc:e236:794f,60335,ff02::1:3,5355,0,196,17,416
udp,10.105.11.201,60335,224.0.0.252,5355,0,156,17,415
udp,10.105.11.201,57808,224.0.0.252,5355,0,156,17,415
udp,fe80::8db8:8ebc:e236:794f,57808,ff02::1:3,5355,0,196,17,414
udp,fe80::8db8:8ebc:e236:794f,51060,ff02::1:3,5355,0,196,17,432
udp,10.105.11.201,51060,224.0.0.252,5355,0,156,17,431
udp,10.105.11.201,60902,224.0.0.252,5355,0,156,17,431
udp,fe80::8db8:8ebc:e236:794f,60902,ff02::1:3,5355,0,196,17,431
udp,10.105.10.107,49258,239.255.255.250,1900,0,868,17,3017
udp,10.105.10.61,61616,10.105.11.255,1947,0,82,17,0
tcp,10.105.10.61,52630,10.108.10.97,7680,0,264,6,7031
udp,fe80::a861:4965:d154:9a39,59412,ff02::1:3,5355,0,176,17,420
udp,10.105.10.55,59412,224.0.0.252,5355,0,136,17,420
udp,fe80::a861:4965:d154:9a39,54601,ff02::1:3,5355,0,176,17,419
udp,10.105.10.55,54601,224.0.0.252,5355,0,136,17,419
udp,10.105.10.113,55198,239.255.255.250,1900,0,868,17,3019
icmp,10.105.10.61,0,199.232.42.217,0,296,296,1,3058
udp,fe80::a861:4965:d154:9a39,57201,ff02::1:3,5355,0,176,17,420
udp,10.105.10.55,57201,224.0.0.252,5355,0,136,17,420
udp,fe80::a861:4965:d154:9a39,52681,ff02::1:3,5355,0,176,17,420
udp,10.105.10.55,52681,224.0.0.252,5355,0,136,17,419
udp,10.105.10.89,54830,239.255.255.250,1900,0,868,17,3013
udp,fe80::8db8:8ebc:e236:794f,63559,ff02::1:3,5355,0,196,17,420
